id,name,address,suburb,postcode,section_id,category,priority,status,phone,website,lat,lng,notes,visit_notes,source,rating,place_id,updated_at,google_maps_url
3d93a200947c3c26,Anloi Deli & Marinades,VIC,,,dandenong-corridor,deli,medium,prospect,,,-37.9503588,145.1509657,Found via OpenStreetMap Overpass,,overpass,,,2026-09-17T13:41:57.691524+00:00,https://www.google.com/maps/search/?api=1&query=Anloi+Deli+%26+Marinades+VIC+Melbourne
0903cd86c356cb81,Bambi Deli,46C Brady Road Dandenong North VIC 3175,Dandenong North,3175,dandenong-corridor,deli,medium,prospect,+61 3 9795 4847,,-37.9544308,145.212642,Found via OpenStreetMap Overpass,,overpass,,,2026-09-17T13:42:26.527312+00:00,https://www.google.com/maps/search/?api=1&query=Bambi+Deli+46C+Brady+Road+Dandenong+North+VIC+3175+Melbourne
e3772c218ece82ce,Binh Minh,46-48 Buckingham Avenue VIC,,,dandenong-corridor,greengrocer,medium,prospect,,,-37.9502373,145.1510653,Found via OpenStreetMap Overpass,,overpass,,,2026-09-17T13:41:55.645081+00:00,https://www.google.com/maps/search/?api=1&query=Binh+Minh+46-48+Buckingham+Avenue+VIC+Melbourne
09519f41a4afe43e,Binh Minh Fresh,VIC,,,dandenong-corridor,greengrocer,medium,prospect,,,-37.9717516,145.1498766,Found via OpenStreetMap Overpass,,overpass,,,2026-09-17T13:41:56.667130+00:00,https://www.google.com/maps/search/?api=1&query=Binh+Minh+Fresh+VIC+Melbourne
dd13cfc8d87097a1,Chan Kee,VIC,,,dandenong-corridor,deli,medium,prospect,,,-37.950365,145.1531487,Found via OpenStreetMap Overpass,,overpass,,,2026-09-17T13:41:55.754931+00:00,https://www.google.com/maps/search/?api=1&query=Chan+Kee+VIC+Melbourne
596ed3f3a6e25a70,Dandenong Market,"Cleeland Street, Dandenong VIC 3175",Dandenong,3175,dandenong-corridor,fresh food market,medium,prospect,,https://www.dandenongmarket.com.au,-37.9875,145.2145,Wholesale-friendly market,,seed,,,2026-09-17T13:41:18.891316+00:00,https://www.google.com/maps/search/?api=1&query=Dandenong+Market+Cleeland+Street%2C+Dandenong+VIC+3175+Melbourne
6ce72d318f0d7eb0,Daton Groceries,36 Queens Avenue VIC,,,dandenong-corridor,greengrocer,medium,prospect,,,-37.9479933,145.1506843,Found via OpenStreetMap Overpass,,overpass,,,2026-09-17T13:41:55.845609+00:00,https://www.google.com/maps/search/?api=1&query=Daton+Groceries+36+Queens+Avenue+VIC+Melbourne
4d34fc08b70439ed,Emrah Food Mart,VIC,,,dandenong-corridor,deli,medium,prospect,,,-37.9892868,145.2165292,Found via OpenStreetMap Overpass,,overpass,,,2026-09-17T13:41:56.946231+00:00,https://www.google.com/maps/search/?api=1&query=Emrah+Food+Mart+VIC+Melbourne
cb3eefb431589583,Henry's Mercato,VIC,,,dandenong-corridor,greengrocer,medium,prospect,,,-37.9211468,145.2367359,Found via OpenStreetMap Overpass,,overpass,,,2026-09-17T13:42:02.239583+00:00,https://www.google.com/maps/search/?api=1&query=Henry%27s+Mercato+VIC+Melbourne
daf89266ec65c7db,Indian grocery & spice cluster Clayton,"Clayton Road, Clayton VIC 3168",Clayton,3168,dandenong-corridor,spice / specialty grocery strip,medium,prospect,,,-37.9155,145.1215,Dense spice retail — walk Clayton Rd,,seed,,,2026-09-17T13:41:19.331641+00:00,https://www.google.com/maps/search/?api=1&query=Indian+grocery+%26+spice+cluster+Clayton+Clayton+Road%2C+Clayton+VIC+3168+Melbourne
19c1526f1e5ef5e6,Kampong Cham Grocery,1-3 St Johns Avenue VIC,,,dandenong-corridor,greengrocer,medium,prospect,+61 488 889 717,,-37.9485042,145.1507237,Found via OpenStreetMap Overpass,,overpass,,,2026-09-17T13:41:55.788863+00:00,https://www.google.com/maps/search/?api=1&query=Kampong+Cham+Grocery+1-3+St+Johns+Avenue+VIC+Melbourne
b98f09b4aa9d0430,Lien Hung Chinese Grocery,VIC,,,dandenong-corridor,greengrocer,medium,prospect,+61 3 9547 4808,,-37.9501883,145.15084,Found via OpenStreetMap Overpass,,overpass,,,2026-09-17T13:41:55.990936+00:00,https://www.google.com/maps/search/?api=1&query=Lien+Hung+Chinese+Grocery+VIC+Melbourne
df42ae2cd4d05743,Manila Grocers,VIC,,,dandenong-corridor,wholesale,medium,prospect,,,-38.0175534,145.2716005,Found via OpenStreetMap Overpass,,overpass,,,2026-09-17T13:42:00.344098+00:00,https://www.google.com/maps/search/?api=1&query=Manila+Grocers+VIC+Melbourne
059036517bb427c0,Market Europa,VIC,,,dandenong-corridor,greengrocer,medium,prospect,,,-37.9537601,145.178516,Found via OpenStreetMap Overpass,,overpass,,,2026-09-17T13:41:55.889636+00:00,https://www.google.com/maps/search/?api=1&query=Market+Europa+VIC+Melbourne
74829c7ca42bb5b8,Springvale Asian Grocery cluster,"Springvale Road, Springvale VIC 3171",Springvale,3171,dandenong-corridor,specialty / spice grocery,medium,prospect,,,-37.9495,145.1525,Dense spice & specialty grocery strip,,seed,,,2026-09-17T13:38:27.308920+00:00,https://www.google.com/maps/search/?api=1&query=Springvale+Asian+Grocery+cluster+Springvale+Road%2C+Springvale+VIC+3171+Melbourne
b4abb2682db9b6e7,Springvale shopping strip (Asian groceries & spices),"Springvale Road, Springvale VIC 3171",Springvale,3171,dandenong-corridor,specialty / spice grocery strip,medium,prospect,,,-37.9495,145.1525,Walk the strip for spice & specialty independents,,seed,,,2026-09-17T13:41:18.925453+00:00,https://www.google.com/maps/search/?api=1&query=Springvale+shopping+strip+%28Asian+groceries+%26+spices%29+Springvale+Road%2C+Springvale+VIC+3171+Melbourne
