id,name,address,suburb,postcode,section_id,category,priority,status,phone,website,lat,lng,notes,visit_notes,source,rating,place_id,updated_at,google_maps_url
d42067bc9d31ce5e,5 The Mall Fruit Market,VIC,,,outer-east,greengrocer,medium,prospect,,,-37.7721692,145.1129559,Found via OpenStreetMap Overpass,,overpass,,,2026-09-17T13:42:21.441340+00:00,https://www.google.com/maps/search/?api=1&query=5+The+Mall+Fruit+Market+VIC+Melbourne
13b54de3d20ad986,Amazing Veggies,VIC,,,outer-east,greengrocer,medium,prospect,,,-37.8196953,145.1224878,Found via OpenStreetMap Overpass,,overpass,,,2026-09-17T13:42:14.869053+00:00,https://www.google.com/maps/search/?api=1&query=Amazing+Veggies+VIC+Melbourne
0f6726df9e82a4b3,Angelo's Organic,VIC,,,outer-east,greengrocer,medium,prospect,,,-37.8205879,145.1512162,Found via OpenStreetMap Overpass,,overpass,,,2026-09-17T13:41:55.149545+00:00,https://www.google.com/maps/search/?api=1&query=Angelo%27s+Organic+VIC+Melbourne
3f658e6d5c7b3136,Apples On High,VIC,,,outer-east,greengrocer,medium,prospect,,,-37.8761745,145.2103543,Found via OpenStreetMap Overpass,,overpass,,,2026-09-17T13:41:52.851355+00:00,https://www.google.com/maps/search/?api=1&query=Apples+On+High+VIC+Melbourne
8ccb1ce02e85b3bf,Big Watermelon,1161 High Street Road Wantirna South VIC 3152,Wantirna South,3152,outer-east,organic greengrocer,medium,prospect,,https://www.bigwatermelon.com.au/,-37.8751633,145.2057013,Found via OpenStreetMap Overpass,,overpass,,,2026-09-17T13:42:18.108926+00:00,https://www.google.com/maps/search/?api=1&query=Big+Watermelon+1161+High+Street+Road+Wantirna+South+VIC+3152+Melbourne
d66434a867545115,Big Watermelon Bushy Park Wholesale,1161 High Street Road VIC,,,outer-east,greengrocer,medium,prospect,,http://bushyparkwholesale.com.au/,-37.8750119,145.2057798,Found via OpenStreetMap Overpass,,overpass,,,2026-09-17T13:41:53.865907+00:00,https://www.google.com/maps/search/?api=1&query=Big+Watermelon+Bushy+Park+Wholesale+1161+High+Street+Road+VIC+Melbourne
09db472ae49329a9,Bolton Street Deli,120-122 Bolton Street VIC,,,outer-east,deli,medium,prospect,,,-37.7316767,145.1353062,Found via OpenStreetMap Overpass,,overpass,,,2026-09-17T13:42:09.360284+00:00,https://www.google.com/maps/search/?api=1&query=Bolton+Street+Deli+120-122+Bolton+Street+VIC+Melbourne
82bcdbe98a3ff8ed,Bolton Street Fruit Market,130 Bolton Street VIC,,,outer-east,greengrocer,medium,prospect,,,-37.7314704,145.1353429,Found via OpenStreetMap Overpass,,overpass,,,2026-09-17T13:42:09.301823+00:00,https://www.google.com/maps/search/?api=1&query=Bolton+Street+Fruit+Market+130+Bolton+Street+VIC+Melbourne
436ed1fb6d20870c,Coles,VIC,,,outer-east,organic supermarket,medium,prospect,,,-37.8196048,145.1203412,Found via OpenStreetMap Overpass,,overpass,,,2026-09-17T13:42:06.193054+00:00,https://www.google.com/maps/search/?api=1&query=Coles+VIC+Melbourne
a876f1e9649623ad,Costco,29 Bond Street VIC,,,outer-east,wholesale,medium,prospect,+61 3 8873 6700,https://www.costco.com.au/,-37.8145817,145.2252706,Found via OpenStreetMap Overpass,,overpass,,,2026-09-17T13:42:22.747808+00:00,https://www.google.com/maps/search/?api=1&query=Costco+29+Bond+Street+VIC+Melbourne
